REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q14_PERSON_SERIAL_NO,Q14_REGISTERED_EPF_OR_IRD,Q15_PROPER_ACCOUNTING_SYSTEM,Q16_NO_OF_EMPLOYEES,Q17_NO_OF_HOURS_USEALLY_WORK,Q18_NO_ACTUALLY_WORK_HOURS
05,2006,01,2,12,004,04,1,034,01,3,3,1,40,40
05,2006,01,2,12,004,04,1,034,03,2,2,1,54,54
05,2006,01,2,12,004,05,1,035,01,2,2,8,48,48
05,2006,01,2,12,004,05,1,035,02,2,2,8,48,48
05,2006,01,2,12,004,06,1,036,01,3,1,1,40,40
05,2006,01,2,12,004,06,1,036,02,1,1,6,44,44
05,2006,01,2,12,004,07,1,037,01,2,2,1,44,44
05,2006,01,2,12,004,08,1,038,03, , , ,48,48
05,2006,01,2,12,004,09,1,039,02,2,2,8,48,48
05,2006,01,2,12,004,10,1,040,02,2,2,8,35,35
05,2006,01,2,12,004,10,1,040,04,3,2,1,48,20
05,2006,01,2,12,005,01,1,041,01, , , ,32,32
05,2006,01,2,12,005,02,1,042,01,2,1,1,46,46
05,2006,01,2,12,005,03,1,043,01, , , ,36,36
05,2006,01,2,12,005,05,1,045,01, , , ,24,24
05,2006,01,2,12,005,05,1,045,03, , , ,30,00
05,2006,01,2,12,005,06,1,046,01,2,2,1,84,84
05,2006,01,2,12,005,06,1,046,03,2,2,1,84,84
05,2006,01,2,12,005,07,1,047,01,2,2,8,72,72
05,2006,01,2,12,005,08,1,048,02,1,1,4,66,66
05,2006,01,2,12,005,10,1,050,01,1,1,5,54,54
05,2006,01,2,12,005,10,1,050,02,1,1,4,54,54
05,2006,01,2,12,006,01,1,051,01, , , ,40,40
05,2006,01,2,12,006,02,1,052,02, , , ,48,48
05,2006,01,2,12,006,02,1,052,04,1,1,4,40,40
05,2006,01,2,12,006,04,1,054,01, , , ,48,48
05,2006,01,2,12,006,06,1,056,03,1,1,6,48,48
05,2006,01,2,12,006,06,1,056,05, , , ,48,40
05,2006,01,2,12,006,06,1,056,06,1,1,4,48,48
05,2006,01,2,12,006,07,1,057,01, , , ,40,48
05,2006,01,2,12,006,07,1,057,02, , , ,30,30
05,2006,01,2,12,006,08,1,058,01,1,1,6,20,12
05,2006,01,2,12,006,09,1,059,01,2,2,7,48,48
05,2006,01,2,12,006,09,1,059,04,1,1,4,48,48
05,2006,01,2,12,006,10,1,060,02,1,1,5,48,48
05,2006,01,2,12,006,10,1,060,03,1,1,4,40,40
05,2006,01,2,12,007,01,1,061,01,2,2,8,46,46
05,2006,01,2,12,007,01,1,061,03,1,1,4,56,56
05,2006,01,2,12,007,01,1,061,04,1,1,6,40,40
05,2006,01,2,12,007,02,1,062,02,2,2,1,70,70
05,2006,01,2,12,007,02,1,062,03,2,2,8,60,60
05,2006,01,2,12,007,02,1,062,04,2,2,1,35,35
05,2006,01,2,12,007,03,1,063,01, , , ,40,35
05,2006,01,2,12,007,03,1,063,04,2,3,1,40,40
05,2006,01,2,12,007,04,1,064,01, , , ,40,40
05,2006,01,2,12,007,04,1,064,02, , , ,30,30
05,2006,01,2,12,007,05,1,065,01, , , ,40,40
05,2006,01,2,12,007,05,1,065,02,2,2,1,40,40
05,2006,01,2,12,007,06,1,066,01,2,3,1,60,60
05,2006,01,2,12,007,07,1,067,01, , , ,48,36
05,2006,01,2,12,007,07,1,067,02, , , ,44,44
05,2006,01,2,12,007,08,1,068,03,1,1,5,60,60
05,2006,01,2,12,007,09,1,069,02,1,1,4,60,70
05,2006,01,2,12,007,09,1,069,04,1,1,5,60,60
05,2006,01,2,12,007,09,1,069,05,2,2,8,36,36
05,2006,01,2,12,007,10,1,070,02, , , ,48,48
05,2006,01,2,12,007,10,1,070,04,2,2,8,35,35
05,2006,01,2,12,008,01,1,071,01,1,1,6,45,45
05,2006,01,2,12,008,02,1,072,02, , , ,48,48
05,2006,01,2,12,008,03,1,073,01,1,1,1,36,36
05,2006,01,2,12,008,03,1,073,03,1,1,2,45,45
05,2006,01,2,12,008,04,1,074,01,1,1,2,45,45
05,2006,01,2,12,008,07,1,077,01,2,1,2,60,60
05,2006,01,2,12,008,08,1,078,01,2,2,7,72,72
05,2006,01,2,12,008,09,1,079,01,2,2,7,72,72
05,2006,01,2,12,008,10,1,080,04,1,1,6,90,90
05,2006,01,2,12,008,10,1,080,06,1,1,6,90,90
05,2006,01,2,12,009,01,1,081,01, , , ,54,27
05,2006,01,2,12,009,03,1,083,01,1,1,5,54,54
05,2006,01,2,12,009,03,1,083,02,2,2,1,72,72
05,2006,01,2,12,009,03,1,083,03,2,2,7,60,60
05,2006,01,2,12,009,04,1,084,01,2,2,8,70,70
05,2006,01,2,12,009,04,1,084,02,2,2,8,40,40
05,2006,01,2,12,009,06,1,086,01,2,2,1,70,70
05,2006,01,2,12,009,07,1,087,01,1,1,6,45,54
05,2006,01,2,12,009,07,1,087,03, , , ,54,54
05,2006,01,2,12,009,07,1,087,04,2,2,1,60,60
05,2006,01,2,12,009,07,1,087,05,2,2,1,30,30
05,2006,01,2,12,009,08,1,088,01, , , ,48,48
05,2006,01,2,12,009,08,1,088,02, , , ,40,40
05,2006,01,2,12,009,09,1,089,01,1,1,5,48,70
05,2006,01,2,12,009,10,1,090,01,2,2,7,60,70
05,2006,01,2,12,010,01,1,091,01,1,1,6,51,51
05,2006,01,2,12,010,01,1,091,02,2,2,8,25,25
05,2006,01,2,12,010,02,1,092,02,2,2,7,42,00
05,2006,01,2,12,010,03,1,093,01,2,2,1,20,04
05,2006,01,2,12,010,04,1,094,01,2,2,7,27,09
05,2006,01,2,12,010,04,1,094,02, , , ,30,08
05,2006,01,2,12,010,05,1,095,01, , , ,48,48
05,2006,01,2,12,010,05,2,096,01,2,2,1,28,28
05,2006,01,2,12,010,07,1,098,01,2,2,8,07,03
05,2006,01,2,12,010,08,1,099,01, , , ,40,00
05,2006,01,2,12,010,08,1,099,02,2,2,8,14,14
05,2006,01,2,12,010,08,1,099,03,2,2,7,40,32
05,2006,01,2,12,010,09,1,100,01,2,2,7,40,40
05,2006,01,2,12,010,09,1,100,02,2,2,7,77,55
05,2006,01,2,12,010,10,1,101,01,2,2,1,90,90
05,2006,01,2,12,011,01,1,102,01,1,1,1,48,48
05,2006,01,2,12,011,03,1,104,01,1,1,1,56,56
05,2006,01,2,12,011,04,1,105,01,1,1,1,60,60
05,2006,01,2,12,011,05,1,106,01,1,1,1,40,16
05,2006,01,2,12,011,05,1,106,02,2,2,1,20,20
05,2006,01,2,12,011,06,1,107,04, , , ,30,30
05,2006,01,2,12,011,07,1,108,01, , , ,56,24
05,2006,01,2,12,011,10,1,111,01, , , ,40,32
05,2006,01,2,12,012,01,1,112,01, , , ,40,40
05,2006,01,2,12,012,02,1,113,01, , , ,40,48
