REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q33_PERSON_SERIAL_NO,Q33_EXPECT_A_JOB,Q34_STEPS_TAKEN_FIND_JOB,Q351_STEPS_TAKEN_1ST,Q352_STEPS_TAKEN_2ND,Q353_STEPS_TAKEN_3RD,Q36_REASON_NOT_TAKING_ACTION
09,2008,01,2,12,005,09,1,049,01,2, , , , , 
09,2008,01,2,12,005,09,1,049,03,2, , , , , 
09,2008,01,2,12,005,10,1,050,01,2, , , , , 
09,2008,01,2,12,005,10,1,050,02,2, , , , , 
09,2008,01,2,12,006,01,1,051,02,2, , , , , 
09,2008,01,2,12,006,02,1,052,02,2, , , , , 
09,2008,01,2,12,006,03,1,053,02,2, , , , , 
09,2008,01,2,12,006,03,1,053,03,2, , , , , 
09,2008,01,2,12,006,04,1,054,01,2, , , , , 
09,2008,01,2,12,006,04,1,054,02,2, , , , , 
09,2008,01,2,12,006,04,1,054,04,2, , , , , 
09,2008,01,2,12,006,05,1,055,02,2, , , , , 
09,2008,01,2,12,006,05,1,055,04,2, , , , , 
09,2008,01,2,12,006,05,1,055,05,2, , , , , 
09,2008,01,2,12,006,06,1,056,02,2, , , , , 
09,2008,01,2,12,006,06,1,056,03,2, , , , , 
09,2008,01,2,12,006,07,1,057,01,2, , , , , 
09,2008,01,2,12,006,07,1,057,02,2, , , , , 
09,2008,01,2,12,006,08,1,058,01,2, , , , , 
09,2008,01,2,12,006,08,1,058,03,2, , , , , 
09,2008,01,2,12,006,08,1,058,04,2, , , , , 
09,2008,01,2,12,006,08,1,058,05,2, , , , , 
09,2008,01,2,12,006,09,1,059,01,2, , , , , 
09,2008,01,2,12,006,10,1,060,01,2, , , , , 
09,2008,01,2,12,007,02,1,062,01,2, , , , , 
09,2008,01,2,12,007,03,1,063,02,2, , , , , 
09,2008,01,2,12,007,03,1,063,03,2, , , , , 
09,2008,01,2,12,007,03,1,063,04,2, , , , , 
09,2008,01,2,12,007,04,1,064,01,2, , , , , 
09,2008,01,2,12,007,04,1,064,02,2, , , , , 
09,2008,01,2,12,007,04,1,064,03,2, , , , , 
09,2008,01,2,12,007,05,1,065,01,2, , , , , 
09,2008,01,2,12,007,05,1,065,02,2, , , , , 
09,2008,01,2,12,007,05,1,065,03,2, , , , , 
09,2008,01,2,12,007,06,1,066,03,2, , , , , 
09,2008,01,2,12,007,06,1,066,04,2, , , , , 
09,2008,01,2,12,007,08,1,068,01,2, , , , , 
09,2008,01,2,12,007,09,1,069,01,2, , , , , 
09,2008,01,2,12,007,09,1,069,02,2, , , , , 
09,2008,01,2,12,007,09,1,069,04,2, , , , , 
09,2008,01,2,12,008,02,1,072,02,2, , , , , 
09,2008,01,2,12,008,02,1,072,03,2, , , , , 
09,2008,01,2,12,008,02,1,072,04,2, , , , , 
09,2008,01,2,12,008,03,1,073,01,2, , , , , 
09,2008,01,2,12,008,03,1,073,02,2, , , , , 
09,2008,01,2,12,008,03,1,073,04,2, , , , , 
09,2008,01,2,12,008,03,1,073,05,2, , , , , 
09,2008,01,2,12,008,03,1,073,07,2, , , , , 
09,2008,01,2,12,008,03,1,073,08,2, , , , , 
09,2008,01,2,12,008,04,1,074,01,2, , , , , 
